time,ETH,BSV,BTC,XRP,LTC,DOGE,BCH,BNB,XTZ,EOS,XLM,ETH_lag1,BSV_lag1,BTC_lag1,XRP_lag1,LTC_lag1,DOGE_lag1,BCH_lag1,BNB_lag1,XTZ_lag1,EOS_lag1,XLM_lag1
2022-07-08 00:00:00,1274.65,57.74,22377.17,0.358,53.96,0.07338,113.19,247.47,1.598,1.068,0.1183,1253.43,58.7,21840.22,0.3452,52.58,0.07117,112.43,243.6,1.593,1.037,0.1154
2022-07-09 00:00:00,1232.47,57.37,21942.8,0.3474,54.77,0.07011,113.07,244.89,1.654,1.048,0.115,1274.65,57.74,22377.17,0.358,53.96,0.07338,113.19,247.47,1.598,1.068,0.1183
2022-07-10 00:00:00,1219.06,55.16,21591.09,0.3448,55.01,0.06947,111.52,243.27,1.663,1.039,0.1129,1232.47,57.37,21942.8,0.3474,54.77,0.07011,113.07,244.89,1.654,1.048,0.115
2022-07-11 00:00:00,1170.23,52.17,20852.04,0.3287,52.19,0.06724,107.3,234.89,1.708,1.007,0.1078,1219.06,55.16,21591.09,0.3448,55.01,0.06947,111.52,243.27,1.663,1.039,0.1129
2022-07-12 00:00:00,1097.18,50.57,20036.49,0.3177,49.31,0.06302,100.97,228.02,1.622,0.949,0.1034,1170.23,52.17,20852.04,0.3287,52.19,0.06724,107.3,234.89,1.708,1.007,0.1078
2022-07-13 00:00:00,1117.22,52.82,20274.83,0.3253,49.65,0.06227,102.6,230.74,1.522,0.9561,0.1055,1097.18,50.57,20036.49,0.3177,49.31,0.06302,100.97,228.02,1.622,0.949,0.1034
2022-07-14 00:00:00,1211.87,53.95,20869.51,0.3336,51.69,0.06276,104.11,239.93,1.581,0.9762,0.1072,1117.22,52.82,20274.83,0.3253,49.65,0.06227,102.6,230.74,1.522,0.9561,0.1055
2022-07-15 00:00:00,1286.06,53.53,21185.15,0.3484,52.72,0.06438,106.98,242.62,1.62,0.9927,0.1085,1211.87,53.95,20869.51,0.3336,51.69,0.06276,104.11,239.93,1.581,0.9762,0.1072
2022-07-16 00:00:00,1400.05,54.71,21574.75,0.356,55.49,0.06481,110.66,251.46,1.638,1.014,0.1102,1286.06,53.53,21185.15,0.3484,52.72,0.06438,106.98,242.62,1.62,0.9927,0.1085
2022-07-17 00:00:00,1385.31,54.21,21658.47,0.3611,57.0,0.0655,116.2,255.59,1.639,1.026,0.1112,1400.05,54.71,21574.75,0.356,55.49,0.06481,110.66,251.46,1.638,1.014,0.1102
2022-07-18 00:00:00,1593.79,60.16,22749.06,0.3697,59.26,0.06891,122.07,265.66,1.748,1.067,0.1161,1385.31,54.21,21658.47,0.3611,57.0,0.0655,116.2,255.59,1.639,1.026,0.1112
2022-07-19 00:00:00,1625.03,61.21,23790.89,0.3767,59.59,0.07026,129.52,274.83,1.794,1.093,0.1199,1593.79,60.16,22749.06,0.3697,59.26,0.06891,122.07,265.66,1.748,1.067,0.1161
